symbol,exchange,interval,datetime,open,high,low,close,volume,turnover,transaction,open_interest
2330,twse,d,2022-07-08 00:00:00,470.0,470.5,461.5,467.0,39134398,0,46039,0
2330,twse,d,2022-07-07 00:00:00,442.0,459.0,438.5,457.5,50984110,0,56227,0
2330,twse,d,2022-07-06 00:00:00,442.0,447.5,435.0,435.5,42156925,0,59018,0
2330,twse,d,2022-07-05 00:00:00,449.5,451.5,433.0,446.0,55469884,0,70715,0
2330,twse,d,2022-07-04 00:00:00,443.0,451.5,440.0,440.0,61206245,0,96760,0
2330,twse,d,2022-07-01 00:00:00,471.5,474.0,452.5,453.5,72597018,0,172267,0
2330,twse,d,2022-06-30 00:00:00,484.5,486.5,476.0,476.0,49820824,0,111117,0
2330,twse,d,2022-06-29 00:00:00,496.0,498.5,491.0,491.0,33124986,0,40024,0
2330,twse,d,2022-06-28 00:00:00,496.0,500.0,496.0,497.5,16867955,0,18988,0
2330,twse,d,2022-06-27 00:00:00,496.0,506.0,495.5,498.5,38684368,0,37438,0
2330,twse,d,2022-06-24 00:00:00,489.5,492.5,485.5,486.5,29003676,0,43609,0
2330,twse,d,2022-06-23 00:00:00,492.0,493.5,485.0,485.5,46808462,0,104661,0
2330,twse,d,2022-06-22 00:00:00,501.0,503.0,494.5,494.5,33438921,0,81024,0
2330,twse,d,2022-06-21 00:00:00,501.0,505.0,499.0,505.0,34432537,0,32427,0
2330,twse,d,2022-06-20 00:00:00,500.0,502.0,495.0,498.0,36664463,0,89541,0
2330,twse,d,2022-06-17 00:00:00,499.5,503.0,499.0,501.0,48400798,0,119618,0
2330,twse,d,2022-06-16 00:00:00,515.0,516.0,507.0,508.0,31908028,0,42177,0
2330,twse,d,2022-06-15 00:00:00,508.0,515.0,508.0,509.0,38360508,0,72687,0
2330,twse,d,2022-06-14 00:00:00,507.0,514.0,507.0,513.0,38838778,0,85483,0
2330,twse,d,2022-06-13 00:00:00,518.0,519.0,515.0,516.0,36758925,0,112023,0
2330,twse,d,2022-06-10 00:00:00,530.0,533.0,529.0,530.0,22614596,0,44802,0
2330,twse,d,2022-06-09 00:00:00,538.0,542.0,537.0,541.0,16894479,0,18802,0
2330,twse,d,2022-06-08 00:00:00,539.0,545.0,538.0,544.0,19609522,0,18487,0
2330,twse,d,2022-06-07 00:00:00,535.0,538.0,532.0,535.0,22152512,0,28586,0
2330,twse,d,2022-06-06 00:00:00,541.0,544.0,538.0,540.0,23732327,0,16614,0
2330,twse,d,2022-06-02 00:00:00,544.0,545.0,540.0,540.0,26063495,0,30042,0
2330,twse,d,2022-06-01 00:00:00,550.0,555.0,548.0,549.0,32970903,0,33456,0
2330,twse,d,2022-05-31 00:00:00,542.0,560.0,540.0,560.0,81962870,0,34286,0
2330,twse,d,2022-05-30 00:00:00,538.0,547.0,537.0,547.0,36480411,0,42797,0
2330,twse,d,2022-05-27 00:00:00,524.0,530.0,522.0,530.0,30113220,0,28711,0
2330,twse,d,2022-05-26 00:00:00,523.0,525.0,513.0,514.0,31542825,0,72846,0
2330,twse,d,2022-05-25 00:00:00,522.0,529.0,520.0,524.0,22460245,0,18352,0
2330,twse,d,2022-05-24 00:00:00,530.0,531.0,520.0,520.0,19130619,0,31716,0
2330,twse,d,2022-05-23 00:00:00,533.0,534.0,528.0,528.0,18919447,0,18775,0
2330,twse,d,2022-05-20 00:00:00,524.0,532.0,523.0,530.0,26111163,0,21767,0
2330,twse,d,2022-05-19 00:00:00,523.0,527.0,520.0,522.0,40798132,0,47232,0
2330,twse,d,2022-05-18 00:00:00,541.0,541.0,534.0,538.0,33605299,0,34913,0
2330,twse,d,2022-05-17 00:00:00,521.0,533.0,520.0,530.0,25812051,0,30826,0
2330,twse,d,2022-05-16 00:00:00,521.0,524.0,518.0,520.0,22012610,0,30034,0
2330,twse,d,2022-05-13 00:00:00,507.0,514.0,506.0,511.0,30204773,0,37707,0
2330,twse,d,2022-05-12 00:00:00,516.0,518.0,505.0,505.0,35824788,0,107513,0
2330,twse,d,2022-05-11 00:00:00,518.0,526.0,518.0,521.0,28109896,0,40227,0
2330,twse,d,2022-05-10 00:00:00,506.0,519.0,505.0,518.0,44322247,0,83371,0
2330,twse,d,2022-05-09 00:00:00,523.0,524.0,520.0,520.0,27309304,0,82004,0
2330,twse,d,2022-05-06 00:00:00,528.0,531.0,526.0,528.0,34512038,0,66208,0
2330,twse,d,2022-05-05 00:00:00,543.0,544.0,539.0,542.0,22540182,0,26904,0
2330,twse,d,2022-05-04 00:00:00,533.0,537.0,530.0,534.0,17305449,0,27460,0
2330,twse,d,2022-05-03 00:00:00,538.0,540.0,530.0,531.0,29502561,0,48050,0
2330,twse,d,2022-04-29 00:00:00,547.0,547.0,535.0,538.0,39960198,0,41498,0
2330,twse,d,2022-04-28 00:00:00,530.0,532.0,523.0,531.0,50406145,0,79897,0
2330,twse,d,2022-04-27 00:00:00,530.0,532.0,526.0,526.0,65034122,0,217895,0
2330,twse,d,2022-04-26 00:00:00,550.0,551.0,544.0,546.0,39549934,0,90252,0
2330,twse,d,2022-04-25 00:00:00,550.0,552.0,546.0,547.0,49067362,0,165619,0
2330,twse,d,2022-04-22 00:00:00,558.0,559.0,557.0,558.0,35567672,0,81550,0
2330,twse,d,2022-04-21 00:00:00,571.0,571.0,565.0,565.0,21539083,0,28847,0
2330,twse,d,2022-04-20 00:00:00,570.0,570.0,562.0,570.0,28240222,0,28615,0
2330,twse,d,2022-04-19 00:00:00,566.0,569.0,563.0,565.0,18811242,0,24598,0
2330,twse,d,2022-04-18 00:00:00,559.0,566.0,558.0,561.0,16579296,0,31712,0
2330,twse,d,2022-04-15 00:00:00,562.0,566.0,561.0,562.0,33158930,0,99936,0
2330,twse,d,2022-04-14 00:00:00,577.0,578.0,573.0,573.0,20224847,0,27442,0
